schemaname,tablename,rowcounts,totalspacemb,usedspacemb,unusedspacemb
dbo,shop_orders,115,0,0,0
dbo,sst_bonus_product_histories,2306,0,0,0
dbo,sst_bonus_products,347,0,0,0
dbo,jerry_account,18722,0,0,0
dbo,sst_categories,30,0,0,0
dbo,sst_categories_service_code,30,0,0,0
dbo,sst_customer_deliveries,0,0,0,0
dbo,sst_customer_delivery_logs,0,0,0,0
dbo,sst_customers_cart,0,0,0,0
dbo,sst_customers_cart_extend,0,0,0,0
dbo,sst_event_histories,2462,0,0,0
dbo,sst_events,1084,0,0,0
dbo,sst_gameserver,3,0,0,0
dbo,sst_gameserver_ip,30,0,0,0
dbo,sst_coupon_map,1100,0,0,0
dbo,sst_coupon_publications,1427,0,0,0
dbo,sst_keyword,0,0,0,0
dbo,sst_keyword_types,0,0,0,0
dbo,sst_keywords,0,0,0,0
dbo,sst_lotteries,3,0,0,0
dbo,sst_lottery_histories,7,0,0,0
dbo,sst_lottery_issue_histories,0,0,0,0
dbo,sst_lottery_item_properties,0,0,0,0
dbo,sst_lottery_item_property_histories,0,0,0,0
dbo,sst_lottery_items,923,0,0,0
dbo,sst_lottery_items_backup,93,0,0,0
dbo,sst_lottery_key_map,19,0,0,0
dbo,sst_lottery_key_map_history,5668,0,0,0
dbo,sst_lottery_properties,0,0,0,0
dbo,sst_lottery_type_configuration_histories,16,0,0,0
dbo,sst_lottery_type_configurations,6,0,0,0
dbo,sst_lottery_types,2,0,0,0
dbo,sst_option_compound_define,0,0,0,0
dbo,sst_option_compounds,0,0,0,0
dbo,sst_options,0,0,0,0
dbo,sst_order_coupon,0,0,0,0
dbo,sst_order_deliveries,0,0,0,0
dbo,sst_order_dualCash,0,0,0,0
dbo,sst_order_options,0,0,0,0
dbo,sst_order_processes,20,0,0,0
dbo,sst_order_recive_info,0,0,0,0
dbo,sst_order_send_activation_logs,0,0,0,0
dbo,sst_order_situation_monitoring,0,0,0,0
dbo,sst_order_situation_of_options,0,0,0,0
dbo,sst_order_situation_of_package_products,0,0,0,0
dbo,sst_order_situations_by_time,0,0,0,0
dbo,sst_order_statistics,0,0,0,0
dbo,sst_order_statistics_batch,0,0,0,0
dbo,sst_order_statistics_batch_gameserver,0,0,0,0
dbo,sst_order_statistics_game_id,2,0,0,0
dbo,sst_order_statistics_product_no,13,0,0,0
dbo,sst_order_statistics_user,1,0,0,0
dbo,sst_order_virtual_cash,0,0,0,0
dbo,sst_partner_suppliers,0,0,0,0
dbo,sst_present_carts,0,0,0,0
dbo,sst_product_attribute,3288,0,0,0
dbo,sst_product_autoupdate,0,0,0,0
dbo,sst_product_category_relations,3288,0,0,0
dbo,sst_product_contents_properties,4,0,0,0
dbo,sst_product_contents_property_histories,0,0,0,0
dbo,sst_product_friendship,0,0,0,0
dbo,sst_product_friendship_history,0,0,0,0
dbo,sst_product_keyword_relations,0,0,0,0
dbo,sst_product_keywords,0,0,0,0
dbo,sst_product_options,0,0,0,0
dbo,sst_product_order_quantity,0,0,0,0
dbo,sst_product_package,2023,0,0,0
dbo,sst_product_parts,0,0,0,0
dbo,sst_product_sex,1,0,0,0
dbo,sst_product_statuses,131,0,0,0
dbo,sst_products_wish_list,0,0,0,0
dbo,sst_properties,1,0,0,0
dbo,sst_properties_item,1,0,0,0
dbo,sst_relation_products,1010,0,0,0
dbo,sst_remove_coupon_map,259,0,0,0
dbo,sst_services,2,0,0,0
dbo,sst_services_temp,0,0,0,0
dbo,sst_set_products,12,0,0,0
dbo,sst_statistics_create_date,14001,0,0,0
dbo,sst_statistics_create_dates,14001,0,0,0
dbo,sst_statistics_unique_id,172,0,0,0
dbo,sst_sync_release_status,0,0,0,0
dbo,sst_system_codes,8,0,0,0
dbo,sst_transaction_failure_logs,0,0,0,0
dbo,t0612,0,0,0,0
dbo,temp_lottery_items_090217,93,0,0,0
dbo,tmp2,2672,0,0,0
dbo,sst_product_histories,11388,1,1,0
dbo,tempCoupon,15986,2,2,0
dbo,rollbackTarget,15812,2,2,0
dbo,sst_log,25968,3,2,0
dbo,sst_products,3288,3,2,0
dbo,sst_repetition_order_count_by_yyyymm,48531,12,11,0
dbo,sst_lottery_item_histories,140954,25,24,1
dbo,sst_shop_users,301531,29,27,1
dbo,temp_order_0209,834849,42,42,0
dbo,temp_order_0209_3,744969,43,43,0
dbo,temp_order_0209_2,795030,46,46,0
dbo,temp_order_0209_1,834849,49,48,0
dbo,sst_order_bonuses,856143,51,51,0
dbo,sst_order_situations,1041469,61,61,0
dbo,sst_orders_20080801,696834,65,65,0
dbo,sst_last_reorders,759234,97,95,1
dbo,sst_lottery_issues_backup,536860,138,135,2
dbo,sst_user_game_ids,997130,147,145,1
dbo,Account,5632680,276,275,1
dbo,sst_carts,1601144,283,279,3
dbo,sst_coupon_usages,2477658,421,419,1
dbo,sst_coupon_usage_histories,2519388,439,437,1
dbo,sst_item_sale_report_by_time,10240795,870,847,23
dbo,sst_statistics_unique_ids,26667259,1305,1305,0
dbo,sst_order_relation_cash,135450246,2890,2889,0
dbo,sst_order_send_activations,19996118,3575,3574,1
dbo,sst_order_details,135450238,6204,6203,0
dbo,sst_order_process_logs,135377419,7360,7359,1
dbo,sst_order_activations,135377417,12909,12907,2
dbo,sst_order_payments,135377417,15279,15277,1
dbo,sst_lottery_orders,200847801,15823,15594,229
dbo,sst_coupon_keys,200000000,20762,20760,2
dbo,sst_orders,135377417,34984,34979,4
dbo,sst_lottery_issues,204085515,82620,82609,10
